10,30,15,24,Собака
15,45,20,36,Собака
20,50,25,48,Собака
12,35,18,30,Собака
18,40,22,42,Собака
22,55,28,54,Собака
16,42,21,39,Собака
25,60,30,60,Собака
14,38,17,33,Собака
19,48,23,45,Собака
17,44,25,42,Собака
23,57,29,55,Собака
21,52,27,50,Собака
11,32,16,27,Собака
13,36,19,33,Собака
24,58,31,58,Собака
22,45,24,40,Собака
26,62,33,61,Собака
18,46,27,46,Собака
28,65,35,65,Собака
29,70,38,70,Собака
12,30,14,26,Собака
13,33,17,28,Собака
16,40,20,38,Собака
15,35,19,34,Собака
11,28,15,25,Собака
14,38,18,36,Собака
17,44,22,40,Собака
20,50,28,48,Собака
30,65,40,75,Собака
32,68,42,80,Собака
26,58,35,62,Собака
28,62,38,68,Собака
24,52,32,56,Собака
27,58,37,66,Собака
23,48,30,54,Собака
19,42,26,48,Собака
21,46,29,50,Собака
29,63,41,72,Собака
31,66,44,78,Собака
33,70,46,82,Собака
25,55,35,60,Собака
34,72,48,85,Собака
36,75,50,90,Собака
38,80,52,92,Собака
37,78,51,91,Собака
35,74,49,88,Собака
40,85,55,98,Собака
42,88,58,102,Собака
39,82,54,96,Собака
45,95,62,110,Собака
25,50,25,6,Собака
30,55,30,7,Собака
20,45,20,5,Собака
28,52,28,6,Собака
22,48,25,4,Собака
5,25,10,12,Кошка
6,28,12,14,Кошка
8,30,14,16,Кошка
7,29,13,15,Кошка
4,22,9,10,Кошка
9,32,16,18,Кошка
6,26,11,13,Кошка
10,35,18,20,Кошка
5,24,10,11,Кошка
7,28,13,15,Кошка
4,20,8,9,Кошка
8,30,16,17,Кошка
3,18,7,8,Кошка
10,38,20,22,Кошка
6,25,11,13,Кошка
5,22,9,10,Кошка
9,34,17,19,Кошка
7,28,15,17,Кошка
4,21,8,9,Кошка
8,32,18,20,Кошка
5,23,10,11,Кошка
7,30,15,17,Кошка
10,36,19,22,Кошка
6,27,12,14,Кошка
12,40,22,27,Кошка
14,45,25,31,Кошка
11,38,20,25,Кошка
15,47,28,33,Кошка
17,50,30,36,Кошка
28,65,45,58,Кошка
30,68,48,62,Кошка
25,60,40,55,Кошка
32,72,50,65,Кошка
35,75,52,70,Кошка
38,80,55,75,Кошка
40,85,58,80,Кошка
42,88,60,85,Кошка
36,77,56,76,Кошка
39,82,59,79,Кошка
33,70,52,68,Кошка
29,65,48,63,Кошка
27,62,45,60,Кошка
15,30,20,3,Кошка
12,28,18,2,Кошка
18,32,22,4,Кошка
16,31,21,3,Кошка
14,29,19,2,Кошка
2,10,5,6,Хомяк
3,12,6,8,Хомяк
1,8,4,5,Хомяк
2,9,5,5,Хомяк
3,11,7,7,Хомяк
2,10,5,6,Хомяк
1,7,3,4,Хомяк
4,14,8,10,Хомяк
2,10,5,6,Хомяк
1,6,3,3,Хомяк
3,13,7,8,Хомяк
2,9,4,5,Хомяк
4,15,8,11,Хомяк
3,12,6,8,Хомяк
1,8,4,5,Хомяк
2,14,7,10,Хомяк
3,11,6,7,Хомяк
2,10,6,6,Хомяк
1,6,3,4,Хомяк
3,13,7,9,Хомяк
4,16,8,12,Хомяк
5,18,10,14,Хомяк
4,15,9,13,Хомяк
3,12,7,9,Хомяк
6,20,12,16,Хомяк
7,22,14,19,Хомяк
5,17,10,15,Хомяк
8,24,15,20,Хомяк
9,26,17,22,Хомяк
12,30,20,25,Хомяк
10,28,18,23,Хомяк
15,35,22,29,Хомяк
18,40,25,32,Хомяк
20,42,28,35,Хомяк
17,38,24,30,Хомяк
21,45,28,36,Хомяк
25,50,32,40,Хомяк
30,55,38,45,Хомяк
32,58,40,48,Хомяк
27,52,36,42,Хомяк
23,47,32,38,Хомяк
26,50,34,40,Хомяк
8,10,6,1,Хомяк
7,8,5,1,Хомяк
6,9,4,1,Хомяк
9,12,7,2,Хомяк
8,11,6,1,Хомяк
